交易所,商品代码,可用数量,持有市值,目标价,止损价,调仓至
SSE,600538,300.0,0.0,10.0,,
SZSE,000985,2100.0,4.0,17.0,,
SZSE,000637,6200.0,5.0,9.0,3.8,
SSE,601997,4100.0,4.0,,,
SZSE,002010,0.0,0.0,,,
SZSE,000557,0.0,0.0,,,
SSE,601018,7000.0,5.0,,,
SSE,600217,0.0,0.0,,,
SSE,600664,0.0,0.0,,,
SZSE,002550,6400.0,5.0,,,
SZSE,002522,0.0,0.0,,,
SSE,601718,9200.0,5.0,,,
SSE,600987,0.0,0.0,,,
SZSE,000801,0.0,0.0,,,
SZSE,002782,2300.0,4.0,,,
SZSE,000413,12200.0,5.0,,,
SZSE,000901,3000.0,4.0,,,
SSE,603668,0.0,0.0,,,
SZSE,000509,0.0,0.0,,,
SZSE,000068,0.0,0.0,,,
SZSE,300645,0.0,0.0,,,
SZSE,300075,0.0,0.0,,,
SZSE,000755,0.0,0.0,,,
SSE,600106,0.0,0.0,,,
